id,breed_id,ems,english
383,1,hs 01 21 61, chocolate tortie silver van tabby blue eyed 
384,1,js 01 21 61, lilac tortie silver van tabby blue eyed 
385,1,ns 01 21 62, black silver van tabby orange eyed 
386,1,as 01 21 62, blue silver van tabby orange eyed 
387,1,bs 01 21 62, chocolate silver van tabby orange eyed 
388,1,cs 01 21 62, lilac silver van tabby orange eyed 
389,1,ds 01 21 62, red silver van tabby orange eyed 
390,1,es 01 21 62, cream silver van tabby orange eyed 
391,1,fs 01 21 62, black tortie silver van tabby orange eyed 
392,1,gs 01 21 62, blue tortie silver van tabby orange eyed 
393,1,hs 01 21 62, chocolate tortie silver van tabby orange eyed 
394,1,js 01 21 62, lilac tortie silver van tabby orange eyed 
395,1,ns 01 21 63, black silver van tabby odd eyed 
396,1,as 01 21 63, blue silver van tabby odd eyed 
397,1,bs 01 21 63, chocolate silver van tabby odd eyed 
398,1,cs 01 21 63, lilac silver van tabby odd eyed 
399,1,ds 01 21 63, red silver van tabby odd eyed 
400,1,es 01 21 63, cream silver van tabby odd eyed 
401,1,fs 01 21 63, black tortie silver van tabby odd eyed 
402,1,gs 01 21 63, blue tortie silver van tabby odd eyed 
403,1,hs 01 21 63, chocolate tortie silver van tabby odd eyed 
404,1,js 01 21 63, lilac tortie silver van tabby odd eyed 
405,1,ns 02 21 61, black silver harlequin tabby blue eyed 
406,1,as 02 21 61, blue silver harlequin tabby blue eyed 
407,1,bs 02 21 61, chocolate silver harlequin tabby blue eyed 
408,1,cs 02 21 61, lilac silver harlequin tabby blue eyed 
409,1,ds 02 21 61, red silver harlequin tabby blue eyed 
410,1,es 02 21 61, cream silver harlequin tabby blue eyed 
411,1,fs 02 21 61, black tortie silver harlequin tabby blue eyed 
412,1,gs 02 21 61, blue tortie silver harlequin tabby blue eyed 
413,1,hs 02 21 61, chocolate tortie silver harlequin tabby blue eyed 
414,1,js 02 21 61, lilac tortie silver harlequin tabby blue eyed 
415,1,ns 02 21 62, black silver harlequin tabby orange eyed 
416,1,as 02 21 62, blue silver harlequin tabby orange eyed 
417,1,bs 02 21 62, chocolate silver harlequin tabby orange eyed 
418,1,cs 02 21 62, lilac silver harlequin tabby orange eyed 
419,1,ds 02 21 62, red silver harlequin tabby orange eyed 
420,1,es 02 21 62, cream silver harlequin tabby orange eyed 
421,1,fs 02 21 62, black tortie silver harlequin tabby orange eyed 
422,1,gs 02 21 62, blue tortie silver harlequin tabby orange eyed 
423,1,hs 02 21 62, chocolate tortie silver harlequin tabby orange eyed 
424,1,js 02 21 62, lilac tortie silver harlequin tabby orange eyed 
425,1,ns 02 21 63, black silver harlequin tabby odd eyed 
426,1,as 02 21 63, blue silver harlequin tabby odd eyed 
427,1,bs 02 21 63, chocolate silver harlequin tabby odd eyed 
428,1,cs 02 21 63, lilac silver harlequin tabby odd eyed 
429,1,ds 02 21 63, red silver harlequin tabby odd eyed 
430,1,es 02 21 63, cream silver harlequin tabby odd eyed 
431,1,fs 02 21 63, black tortie silver harlequin tabby odd eyed 
432,1,gs 02 21 63, blue tortie silver harlequin tabby odd eyed 
433,1,hs 02 21 63, chocolate tortie silver harlequin tabby odd eyed 
434,1,js 02 21 63, lilac tortie silver harlequin tabby odd eyed 
435,1,ns 03 22, black silver bicolour blotched 
436,1,as 03 22, blue silver bicolour blotched 
437,1,bs 03 22, chocolate silver bicolour blotched 
438,1,cs 03 22, lilac silver bicolour blotched 
439,1,ds 03 22, red silver bicolour blotched 
440,1,es 03 22, cream silver bicolour blotched 
441,1,fs 03 22, black tortie silver bicolour blotched 
442,1,gs 03 22, blue tortie silver bicolour blotched 
443,1,hs 03 22, chocolate tortie silver bicolour blotched 
444,1,js 03 22, lilac tortie silver bicolour blotched 
445,1,ns 03 23, black silver bicolour mackerel 
446,1,as 03 23, blue silver bicolour mackerel 
447,1,bs 03 23, chocolate silver bicolour mackerel 
448,1,cs 03 23, lilac silver bicolour mackerel 
449,1,ds 03 23, red silver bicolour mackerel 
450,1,es 03 23, cream silver bicolour mackerel 
451,1,fs 03 23, black tortie silver bicolour mackerel 
452,1,gs 03 23, blue tortie silver bicolour mackerel 
453,1,hs 03 23, chocolate tortie silver bicolour mackerel 
454,1,js 03 23, lilac tortie silver bicolour mackerel 
455,1,ns 03 24, black silver bicolour spotted 
456,1,as 03 24, blue silver bicolour spotted 
457,1,bs 03 24, chocolate silver bicolour spotted 
458,1,cs 03 24, lilac silver bicolour spotted 
459,1,ds 03 24, red silver bicolour spotted 
460,1,es 03 24, cream silver bicolour spotted 
461,1,fs 03 24, black tortie silver bicolour spotted 
